,review
32,just amazing this the new beginning for pokemón series off course graphics could better but you forget about that quickly when you start playing 
33,this first pokemon game and just want say that awesome never believed that say such thing this game made with love old school pokemon fans and newcomers 
34,despite its graphical problems this the way the franchise should walk must all pokemon and rpg fans 
35,enjoyed very much love all the changes they made this new pokemon game best pokemon game the last ten years 
36,dont believe what rat fan boys says about pla its great pokemon game the graphics are not good its 2gb graphic card but the big step its done love the game has everything that fans need 
37,where start yes get why people don like this game because the graphics however for someone like that has grown with pokemon red the early days year old child dream come true love this game much when played feel years again playing pokemon red for the first time gameboy colour nostagic aside the gameplay super fun everything feels smooth running throwing pokeball shinx and immediatly after that catching another one its addicitive and fun play only the first area and spend hours already for people that not like this game ask yourself the question are you really pokemon fan because don get why you can hate this game graphics aside gamefreak finally shake some things and hopefully they going improve this concept further with more gameplay options and much better graphics going back filling pokedex 
38,ignore negative reviews with ratings they are made handful miserable people who set out review bomb this game 
39,not about the graphics about the feelings the gameplay and being true rpg pokémon fan 
40,the most fun had playing pokémon game since firered refreshing and highly addicting gameplay hope pokémon continues this trend going forward 
41,don let the haters detract you this what been asking for and amazing the primary reason many are upset that not everything wanted all once but what does well introduce dizzying array long held changes the core life long fans have been asking for giant leap forward and makes what ever game comes next already top watch out for list lastly matter how you cage gamefreak and pokémon company have built much more mature story asked and put together design much closer the show then any previous game date play for yourself than judge 
42,amazing game bad graphics but the way that gamefreak must follow the perfect pokemon 
43,pokémon has had rough transition between the games getting easier the point being braindead the fact that routes feel less like places explore and more like corridors with occasional wild pokémon battles and the designs that keep getting worse and worse with each new generation the cracks the seams became lot more noticeable this reached its peak when the series made its proper jump the nintendo switch with pokémon sword and pokémon shield directed shigeru ohmori cutting about half the pokédex only sell back you later down the line and just generally looking like upscaled 3ds game and then get the long awaited sinnoh remakes with pokémon brilliant diamond and pokémon shining pearl directed junichi masuda only you wanted sinnoh remake that actually improved gen foundation you never going get one until modding gets more advanced with ohmori most likely working gen and masuda attempting polish bdsp enter kazumasa iwao director pokémon ultra sun and ultra moon the first game the era actually feel like game and think safe say that anyone needs the director future pokémon games needs iwao ohmori and masuda are holding the series back this was the big jump that pokémon needed and say delivers yeah the visuals aren that great and the game can either feel grindy like collectathon but with every pokémon you catch you making progress through the game currently about start the 5th area and the only reason didn make this review sooner that the game too much fun this game could very well shape the future pokémon you want more visual novels with occasional monster catching elements actual games sink your time into you want the latter then buy this game 
44,good gamefreak really outdid themselves this time and about time they did can recommend this game enough you gotten tired burned out the usual pokemon formula 
45,compared the previous entries the franchise this one hell game really good way 
46,great game new experience love pokémon and love nintendo exclusive buy now friend 
47,this the best pokemon ever made has faults but comparing the older games clearly the best game the people giving negative reviews are clearly people who just arent into pokemon and just want jump the gamefreak lazy hate train everyone know who loves pokemon playing non stop someone who got the game early and have battled arceus was one the most fun boss battles ever played and this game overall was fantastic 
48,solid great evolution but giving for the review bombing you mad that are having fun uwu 
49,perfect even both graphics and world blurry bad textures approve the experience play pokémon breath the wild zelda 
50,this the kind pokemon game were asking for years since pokemon black and white the franchise needed change and here 
51,this game fantastic yes graphically could better but least for doesn effect entertainment level this case the thing that really mattering just how much fun once have started hard stop for hours has gameplay loop that feels good and very much just one more thing sort loop this doubt favorite pokémon game have ever released and hope that the next big title learns from this game pokémon back baby 
52,has some problems sure but boy fantastic make all pokémon games like this from now please 
53,the only thing this game could improve graphics this huge step forward for pokemon 
54,this the summation various concepts that have been cooked within the franchise over the years fantastic game that knows what innovate and also knows what keep personally can get off the screen switch because catching pokémon and fighting with them against all kinds wild creatures totally stimulatinggame freak deserves all the love for this 
55,graphics aside think that this the best game the franchise far 
56,amazing gameplay feels fresh and makes you really feel like you interacting with the world and pokémon 
57,most fun had pokémon game years exploring the different areas and completing hisui pokédex addictive hope future installments build what currently set legends arceus 
58,the game even factoring the technical issues terribly good couldn imagine more immersive setting and gameplay the smoothness the gameplay loop ridiculously good truly having fun like the the first time played pokemon game and living the wonder felt diving into hyrule botw this rounded because some details the shadows should been dealt with properly the rest pretty much everything you ever wanted and little more 
59,game extremely fun been playing pokemon since blue red yellow came out and this really nice turn they achieved totally different then your traditional pokemon game and love wide open world pokemon everywhere what have been waiting for since kid what others have said graphics are bit meh but still really fun dangerous change they did and imo worked let hope they improve upon this for the next game 
60,love this new direction great and hope game freak expand the gameplay unique and only pokemon capable making this work 
61,best pokemon game this the way there way back this what pokemon needed 
62,this the way that pokémon games should the graphics not that bad and actually sort unique for pokémon games amazingly satisfying 
63,this game but because looks like they finally listen and there lot pointless going give them hope they continue down this path and continue improving the franchise they need put more effort the graphics love the style but there lot graphical problems also make the world feel more alive with more interactive pokemon and npcs also want see more dungeons and caves more moves and see how they improve the battle system more 
64,this easily one the best pokemon games released years highly recommend anyone 
65,the gameplay itself addictive innovative and good that rate this equalizes the downsides the graphics that are only sometimes bad general graphics are actually good and similar breath the wild sound good echoes caves and different great music situation like nearby strong enemies finally can love pokemon again all last games before were bad finally masterpiece the game mechanics itself are fun enough keep you playing 
66,easily the best pokémon game that has come from gamefreak all the new mechanics work and flow really nicely yes the graphics aren amazing but for what they are they are good 
67,the evolution the franchise needed hope the next game follows the same path this one 
68,absolutely addicted fantastic shake the formula and the best pokémon experience far date 
69,the most entertaining pokémon game ever there much done right that can make forgive the one big problem the underwhelming graphics other than that perfect game 
70,was very very bold move game freak changing the entire formula succesful franchise like pokémon believe this just the begining new generation pokémon games and happy part this the game awesome fun and beautiful don listen the haters some are just graphics weebs people who doesn like good changes enjoy this adventure 
71,the best pokemon game ever played the innovations the game are very successful gamefreak has shown what can whenever wants 
72,total step the right direction the game not perfect but first iteration something new comes close can haven been this engrossed pokemon game where spend many hours once playing quite long time 
73,the graphics are not great aside from that this one the most enjoyable pokemon games ever played might the most enjoyable people are really giving zero just because they don like the graphics the new forms 
74,been tired pokémon games for few years now but loved this game from start finish this was the perfect blend nostalgia and innovation not perfect but was huge step the right direction hope this will continue the new style games that game freak makes because there day one for all their new games 
75,game but because the best the series gets book lol 
76,best pokémon game since pokémon black and white like the new action and stealth elements the game 
77,probably the best pokémon switch game yet definitely the most fun anyone who complaining about graphics lack pokémon need see this the best jump forward for the video game franchise brilliant 
78,great stepping stone for the franchise hopefully gen builds this everything the world seamless and fun that you can sink endless hours 
79,best pokémon ever played doubt mean seriously this the change that pokemon needed 
80,incredible game this was what pokemon lacked funnyan incredible game this was what pokemon lacked interesting and funny really liked lot really like lot 
81,this game what pokemon nedeed for the future please not one off 
82,the best pokemon game yet definitely worth the time and money investment definitely step for the developers game freak look forward what they bring the future they should very proud this entry into pokemon canon 
83,muito bão mas muito bão mesmo isso sim very good forever now game its play nice camon inthe game very well the world chapion easy boy definitive game note maxima inthe game family 
84,pokémon legends arceus easily the next evolution the series presenting experience that blends elements action rpgs and open world adventure titles making for highly rewarding game for series newcomers and true believers alike the graphics and gameplay are among the best the series has offer making this must own title for pokémon fans and switch users everywhere 
85,far played hours haven finished the game yet but dude this amazing was bit worried would get repetitive but honestly the gameplay fun and feels rewarding fill your pokédex that doesn feel repetitive all there many side quests feels could keep going and going forever and always have something the new battle mechanics are incredible the most fun pokémon battles have ever been what shame there aren more battles tbh the game also quite hard found pokémon fainting lot but not hard the point where unplayable annoying just the right amount balance between easy and difficult you can comfortable play let put that way seeing the pokémon their natural habitat refreshing feels like playable version pokémon snap the gameplay fun the story original the characters have charisma the customization options are great more unlock whilst you progress the game the crafting cool and even though the graphical aspect isn the best admittedly honestly does not take away from the gameplay all just that fun point did feel like the graphics were worsening experience and since the artstyle beautiful you don even feel like the game ugly but yeah considering was never bother don even want lower the score because far the only flaw have found you pokémon fan you will love this you not you will probably like too 
86,best game pokemon long time the change the formula little works nicely lot story and new mechanics makes this game perfect hope that will new line legends games other regions 
87,all can say this game breath fresh air 
88,absolutely revolutionary for the pokemon franchise loved every bit the game this certainly step the right direction good job gamefreak 
89,much better than the last remake and for more appealing than sword and shield have played all the pokemon games from red the last remake and this feels like breath fresh air course graphics are not great but know that have nintendo switch with half tflops regular ps4 least runs 1080 docked 
90,its refreshing pokemon game that feels much fun the mechanics are good and catching all pokemons has become much immersive than ever before hope the series will continue this open world feel 
91,amazing game complete revamp the pokemon game concept though the graphics are slightly disappointing this game more than makes for sheer fun 
92,far the best pokémon game all time far superior any way comparing past games this ridiculous 
93,played for well over hours and barely scratched the surface great value and quickly becoming one favourites being honest could become the very first but haven finished the main story yet 
94,this the best pokémon game since soul silver pokemon games should have had this type gameplay since the switch graphics this spin off better than most the previous pokémon games and gamefreak should focus all their attention making pokémon games this style from now 
95,love the total shift the gameplay right from the start could visually better but the end gameplay wins which streamlined and fast pla super addictive and time just flies while enjoying the exploration hopefully this gameplay mechanic will seen through new pokemon games and hope much that there will always main line pokemon games also 
96,you can say what you want about the graphics not being perfect but the game experience pokemon arceus delivers makes far the best pokemon game the franchise 
97,very enjoyable game thus far the best game the series doubt convinced the people spamming the game with score reviews haven even touched 
98,could better but rating game freak realizes this format has lot potential they make sequel 
99,honest expected less however right the game entrance was amazed see how diffrent the game feels thought that arceus would lackluster and new fighting style pokemon wouldn entertaining and simply won have the same effect nevertheless was proven wrong could wrote even more about this masterpiece pokemon game but too lazy 
100,addictive game love exploring sneaking around throwing stuff collecting items actually the crafting feature very fun one the best games played 
101,best pokémon game ever played switches the formula ways the series desperately needed and lays the groundwork for more innovation the future 
102,this game the best pokemon game dont know why peoples hate can promise this masterpiece first all everyone said the map empty and just catch fight game play agree with the point but the situation only appear your initial initial period initial period the tutorial teach how explore the without any function such swimming climbing and fly when you got all you will very enjoy the pokemon world there the new fight system new gameplay style these good things all pokemon fans want this best pokemon game also mix with breath the wild style and very love though someone said the graphics worst have say pokemon videogame and the videogame its mission funny and make player enjoy think game freak has been finish their mission get the great result 
103,this game amazing played hours and having blast and probably will playing for much longer 
104,fascinated with how new this title brings been hours now and can stop playing the music and sounds nature are immersive the world wide and fun explore you can make your own tools the story interesting one the best pokemon games years 
105,have been playing since red and blue and this feels like the first time that have had that level interest and enjoyment from playing pokemon game the new mechanics are great which leaves very engaging and addicting gameplay loop there are some nice quality life improvements but most importantly shiny hunting really streamlined and feels more obtainable rather than doing obscure shiny hunting method recommend this you love pokemon but want fresh change 
106,excellent game ideal for people all ages its main story may seem easy but its huge post game where keeps the challenge for the most experienced pokémon 
107,remarkable game and that everything does has function within its proposal and system with enviable exploration and way interact with pokémon like never seen before the big problem has the mostly negative fandom which attempts have been made discredit everywhere unfair and incoherent comparisons have been made with other games and they have sought glorify indies that blatantly plagiarize pokémon better when fact they are inferior see temtem nexomon out simple hatred and resentment for national pokédex none this helped them because the game turned out the opposite the malicious prejudices that were being formed well made gameplay that meets being fun objectives and missions not are repetitive all excelent music good story good difficulty curve good artthere are many things that arceus legends well 
108,very good game didn really like what tpci gave over the last few years but this one very different the gameplay feels very new and different but does not eliminate the important elements for pokemon catching and stealth system feels very fun the difficulty the game not too difficult nor too easy but there are some battles that feel difficult the main thing that finally puts effort into the game itself 
109,honestly love the game its mechanics are dynamic and realistic and there many quality life improvements the story really nice and for the first time really excited complete the dex the bosses are challenging and the game general incredible opinion don find the graphics bad they are natural progression top game must have 
110,arguably the best pokemon has been about years with clear influence from games like monster hunter and breath the wild pokémon legends arceus gives you the freedom explore that you wish you had pokémon snap with all the attractions main series pokémon game and more 
111,incredible how game freak managed use whole new playing method different than the pokemon formula they used the previous games and still managed incredible work opinion easily top pokemon only behind masterpieces such platinum and heart gold 
112,incredible evolution for the pokémon franchise the graphics need better but the game amazing and you can spend hours and hours just having fun the new battle mechanic great the capture mechanic really good well 
113,the game bold step towards better future for the franchise its super fun expansive lots things story better than previous main entries etc still has room for improvement specially when comes the graphics and other technical aspects but are going get more pokemon games like this the future all 
114,had really fun time playing this game graphically the game isn the best and have say was pretty upset with the fact there was online battles but this setting something fantastic for the future pokemon really excited whats come 
115,the pokémon game that wanted since childhood addicting the game rewards you for everything loving this game much 
116,quickly becoming one top switch games hadn played pokémon game since diamond but this one making super fan 
117,this game really cool the mechanics are complex enough make success feel rewarding but not tedious the same time has what you love about pokémon game reworked without all the repetitive stuff the gameplay loop going out and researching pokémon and then coming back the hub manage your inventory quests etc addicting the performance doesn ruin the immersion but could better this game has lot variation really experience and gives the same feeling felt when playing other famous switch titles looking forward seeing the publisher build off this formula 
118,when was years old pokemon blue and red version were released the gameboy pokémon legends arceus everything that imagined blue version was while playing all those years ago opinion this the greatest thing happen the franchise 
119,glad finally see some ambition graphics drop this game you not pokemon fan but giving because want all the next pokemon games ambitious this one 
120,incredible game the best the franchise mixing the greatest mechanics from pokemon and open world games general 
121,was simply awesome the new mechanics are very fun and very welcomed after years the same formula must buy the switch 
122,please don pay attention the minority poor reviews this game needless say giving this game isn accurate and gives insight how good for someone who has played pokémon since the very beginning this game what wanted since was kid already put hours into legends arceus and can wait continue playing 
123,have been very prejudiced with this title and with its studio this game takes the idea catching pokémon another level that have never experienced the main sagai love how you can fight with any pokémon and that the battle environment the same overworld the difficulty quite decent imo despite what some say about its graphics they are actually lovely 
124,the best pokemon game all franchise new formula and everything this game hard work game freak bring legends arceus can stop play 
125,this what the franchise and the fans needed amazing open world filled with pokémon best recent pokémon game far 
126,never expected pokemon game grab like the days old been sort going through the motions with previous titles the mainline games but this one has going deeper into great see the changes graphics damned the game good not the prettiest one the pokeball 
127,spoiler free review overall this game pretty good even though the graphics and textures are not the best they still okay the other hand they put lot effort into the characters models pokémon and animations general the gameplay mechanics are also really refreshing compared the predecessors and the story doesn follow the typical pokémon formula evil enemy team get all badges beat the champion barely encountered any bugs and even when encountered one wasn anything game breaking and didn disturb that much all all enjoy this game lot especially because expectations weren that high was really surprised when the game turned out good important know that gamefreak barely made any games that weren top down perspective before definitely lacks some depth terms world design but that will definitely get better the more games they make this kind style really hard change whole developers studio workflow just like the old pokémon games the graphics will probably get better from game game about myself the only pokémon games played were firered let and sword shield because mainly gamer know that there are things missing from old pokémon games but from non biased non nostalgic perspective definitely enjoyable gameplay experience 
128,well think the best pokemon game since gen story great for pokemon game too 
129,the game step the right direction anyone who gave anything under either didn play just hater throwing out all over 
130,hours and far the best pokémon experience ever the only drawback the game graphics but considering the game development cycle was only year don mind the character story pokémon and soundtrack are great well but definitely the best part the entire game the gameplay they completely revamped the pokémon gameplay and worth 
131,the greatest pokémon main series game history little lacking but graphics are more advanced than the previous series vast and moderately divided territories fun collect proper fusion existing series and actions bosses various patterns sub quests that not interfere with main content and dramatic stories how can this game boring was able feel with whole body that gamefreak worked hard 
132,awesome game recomend for all pokemon fans innovative game good job game freak 
133,loving the game not the best graphics but step the right direction love being able roll off mountains wish there was jump button but enjoying the game right now and can wait for future versions 
134,just good there aren many other words describe how well game freak has managed deal with new style game after polishing and improving the current system for years its game that everyone has play only playing understood because despite the average graphics one falls love and has fixed the screen 
135,limit the quality this game only the graphics think very reductionist way limit the discourse mononeuristic direction that doesnt benefit anyone seek any solution only complain destructive way without any reason this game surprisingly fun vast and full things once you start the journey hard get off until you finish the prejudice that the general community has for the game could not better described than with the word unfair play and you know what mean 
136,pokémon legends arceus innovates and moves the pokémon franchise many ways pokémon battle transitions seamlessly take place the overworld and only happen when you throw out one your pokémon pokéball this removes annoying random encounters but there still danger traversing the wild aggressive pokémon will attack you pretty difficult battle animations have received overhaul and now look super cool and actually run over and hit each other they are also properly sized and wild pokémon are now more powerful there are side quests well this super good game that you should buy 
137,game completely the circumstances and that meets every expectationpokémon switch simply fire with each game the franchise gets better 
138,one the best games that game freak has made along with emerald platinum ultra moon and shield expansion the leap quality they have made such short time incredible 
139,this game exactly what pokemon needed not perfect but the new mechanics and the freedom are too good imagine explore kanto with this formula please gamefreak this the way 
140,have been told that game very similar botw but when finished last night was the complete opposite this game does have good story devoid filler characters has world with interesting things more than the empty plains the game with which compared and instead being filled with hundreds shrines and kologs each pokémon catch new experience and challenge without falling into monotony love pokémon legends and everything that proposed and the comparisons seem more than hateful has nothing with botw nor will have its game that its own style knows how stand out and memorable 
141,loving the battle mechanics are fun the only downside for the graphics overall breath fresh air for the franchise 
142,great game get right now grrrrrrrr you better buy because good and review this long because can make shorter 
143,best game ever really love the graphics and everything about great this might just favorite game all time 
144,pokémon legends arceus objectively the best pokémon game since heartgold soulsilver since the series gradual decline into stagnation and mediocrity starting with black white felt like there was hope for pokémon games good again each title was getting worse and worse then comes legends arceus brand new spin the tired and overdone pokémon formula with world that actually feels open and alive and gameplay that doesn bore you death legends arceus also brings plethora actual qol changes the franchise that masuda and ohmori were hesitant bring such being able learn moves whenever you want and completely reworking the terrible bloated nature system that ruby sapphire introduced kazumasa iwao the kind person that needs charge the main series pokémon games from now the fact that swshills are attacking this game for actually having ounce effort put into and actually well being good game just shows that legends arceus the kind change the series needed hopefully generation will follow the footsteps legends arceus 
